post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2617832678297339	2019-11-01T21:55:03+0000	"Quando reformulamos integralmente o ENEM para que ele pudesse enfim acabar com o vestibular e permitir a cria\u00e7\u00e3o do SiSU, muita gente torceu o nariz. Hoje, o acesso da classe trabalhadora \u00e0 universidade \u00e9 uma realidade. Prouni e SiSU, duas conquistas do governo Lula!!!\nBOM ENEM!!"	21815	8	3114
904277726319518_2616925681721372	2019-11-01T11:54:51+0000	"Na pr\u00f3xima segunda, entrevisto o cineasta Fernando Meirelles. Vamos falar sobre cinema, cultura e pol\u00edtica brasileira. Acompanhe na AllTV e nas nossas redes \u00e0s 20h."	5631	14	232
904277726319518_2615437628536844	2019-10-31T18:22:13+0000	"Haddad sobre Eduardo Bolsonaro: \u2018A \u00fanica puni\u00e7\u00e3o cab\u00edvel \u00e9 a perda de mandato\u2019"	5938	13	1487
904277726319518_2611138895633384	2019-10-29T16:03:19+0000	"Bolsonaro pediu desculpas ao STF\nPodia pedir desculpas ao povo argentino\nAo povo brasileiro \nA toda humanidade\nAos seres vivos de uma maneira geral\nA Deus por invocar seu nome em v\u00e3o"	23230	47	3233
904277726319518_2608922922521648	2019-10-28T14:39:06+0000	"Caro Bruno Covas, desejo a voc\u00ea pronto restabelecimento. For\u00e7a!"	7462	4	278
904277726319518_1684979824972538	2019-10-28T23:00:40+0000	"Fernando Haddad entrevista Preta Ferreira, produtora Cultural e ativista do Movimento Sem Teto do Centro, e Carmen Silva, fundadora do Movimento Sem Teto do Centro."	3000	8	532
904277726319518_2606606279419979	2019-10-27T12:37:38+0000	""	6239	6	1129
904277726319518_2606466012767339	2019-10-27T11:27:13+0000	"#ParabensLula Que muito brevemente voc\u00ea reencontre seu povo!"	17233	20	367
904277726319518_2604230622990878	2019-10-26T10:52:37+0000	"Minha coluna da semana sobre o papel do STF e as amea\u00e7as veladas ou n\u00e3o que vem sofrendo."	1545	9	175
904277726319518_2601016843312256	2019-10-24T20:51:15+0000	"Fernando Haddad entrevista Carmen Silva e Preta Ferreira, do Movimento dos Sem-Teto do Centro de S\u00e3o Paulo. Segunda-feira, na AllTv e nas redes sociais, \u00e0s 20 horas."	1956	3	131
904277726319518_2598018730278734	2019-10-23T11:14:42+0000	"Entrevista que dei para UOL/Folha: \u201cCiro e Doria ter\u00e3o dificuldades em 2022 de se descolar daquilo que ajudaram a construir. Voc\u00ea n\u00e3o consegue ter identidade. As pessoas come\u00e7am a n\u00e3o ter seguran\u00e7a no que voc\u00ea, de fato, representa\u201d."	2081	10	547
904277726319518_2596763903737550	2019-10-22T20:00:50+0000	"Uma carta aberta redigida por tr\u00eas ex-presidentes de cortes superiores de justi\u00e7a europeias pede aos colegas do STF brasileiro que reflitam sobre \"os v\u00edcios dos processos iniciados contra Lula. Justi\u00e7a brasileira n\u00e3o ter\u00e1 credibilidade com Lula preso\u201d."	4352	9	1090
904277726319518_2144775529158964	2019-10-21T23:00:15+0000	"Fernando Haddad entrevista a antrop\u00f3loga e historiadora Lilia Moritz Schwarcz."	4498	9	1488
